 HC SENSITITRE TREK MIC,3008718607,CDM,300,RC,,,,Outpatient,,,243.00,121.50,Geisinger Family Plan,Geisinger Family Plan - Managed Medicaid,1.03,,,,,,,fee schedule,1.00,206.55,
 HC SENSITITRE TREK MIC,3008718607,CDM,300,RC,,,,Outpatient,,,243.00,121.50,Shepard International Health Care,Shepard International Health Care - Allegheny International,121.50,,,,,,,percent of total billed charges,1.00,206.55,
1 KNEE TIB INSR PLUS X3 13,6095710,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Integrated Health Plan,Integrated Health Plan,10920.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 13,6095710,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Multiplan,Multiplan/Private Health Care System,15470.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 16,6095711,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Intergroup Services,Intergroup Services,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
1 KNEE TIB INSR PLUS X3 25,6095714,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Congregation of the Sister Servants,Congregation of the Sister Servants,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
1 KNEE TIB INSR PLUS X3 28,6095715,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Shepard International Health Care,Shepard International Health Care - Allegheny International,9100.00,,,,,,,percent of total billed charges,6552.00,15470.00,
1 KNEE TIB INSR PLUS X3 28,6095715,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Blue Cross Blue Shield,Capital - Enhanced Network Rates,6360.90,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 31,6095716,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Multiplan,Beech Street,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
1 KNEE TIB INSR PLUS X3 9,6095708,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Shepard International Health Care,Shepard International Health Care - Allegheny International,9100.00,,,,,,,percent of total billed charges,1.00,15470.00,
1/2NSS + KCL 20mEq 20-0.45 MEQ/L-% Soln 1000 mL Flex Cont,00338-0704-34,NDC,636,RC,J3480,HCPCS,,Outpatient,1000,ML,7.53,3.76,Blue Cross Blue Shield,Capital - Basic Network Rates,3.21,,,,,,,percent of total billed charges,0.12,6.40,
11F 23CM BRITETIP,6042492,LOCAL,278,RC,C1894,HCPCS,,Outpatient,,,149.50,74.75,Blue Cross Blue Shield,Capital - Enhanced Network Rates,52.25,,,,,,,percent of total billed charges,1.00,127.08,
12 FR 1.5 CM,110465,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Aetna,First Health Network,412.98,,,,,,,percent of total billed charges,1.00,535.92,
12 FR 1.5 CM,110465,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Jefferson Health Plan,Jefferson Health Plan - Managed Medicaid,1.20,,,,,,,fee schedule,1.00,535.92,
12 FR 1.5 CM,110465,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Multiplan,Beech Street,535.92,,,,,,,percent of total billed charges,1.00,535.92,
12 FR 1.7 CM,110466,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,United Healthcare,United Healthcare - Client Specific Rate,321.56,,,,,,,percent of total billed charges,1.00,535.92,
12 FR 1.7 CM,110466,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,535.92,
12 FR 2.0 CM,110467,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,North Central Secure Treatment Unit,North Central Secure Treatment Unit,226.98,,,,,,,percent of total billed charges,226.98,535.92,
12 FR 2.0 CM,110467,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Blue Cross Blue Shield,Capital - Enhanced Network Rates,220.36,,,,,,,percent of total billed charges,1.00,535.92,
12 FR 2.0 CM,110467,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Integrated Health Plan,Integrated Health Plan,378.30,,,,,,,percent of total billed charges,1.00,535.92,
12/14 COCR HD 28MM X +3.5 8,184684,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,3129.75,1564.88,United Healthcare,United Healthcare - Client Specific Rate,1596.17,,,,,,,percent of total billed charges,1.00,2660.29,
12FR 1.5CM ENFIT,280047,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Congregation of the Sister Servants,Congregation of the Sister Servants,591.17,,,,,,,percent of total billed charges,250.38,591.17,
12FR 1.5CM ENFIT,280047,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Geisinger Family Plan,Geisinger Family Plan - Managed Medicaid,1.00,,,,,,,fee schedule,1.00,591.17,
12FR 1.5CM ENFIT,280047,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Jefferson Health Plan,Jefferson Health Plan - Managed Medicaid,1.20,,,,,,,fee schedule,1.00,591.17,
14 FR 1.2 CM,110469,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Cigna,Cigna,270.36,,,,,,,percent of total billed charges,1.00,535.92,
14 FR 1.2 CM,110469,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Multiplan,Beech Street,535.92,,,,,,,percent of total billed charges,1.00,535.92,
14 FR 1.5 CM,110470,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,United Healthcare,United Healthcare - CHIP - Managed Medicare,2.50,,,,,,,fee schedule,1.00,535.92,
14 FR 1.7 CM,110471,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Congregation of the Sister Servants,Congregation of the Sister Servants,535.92,,,,,,,percent of total billed charges,1.00,535.92,
